date,max,min
2023-05-04,23.5,11.1
2023-05-05,22.7,9.4
2023-05-06,23.8,9.7
2023-05-07,25.9,10.4
2023-05-08,28.3,10.8
2023-05-09,25.0,13.3
2023-05-10,21.7,9.1
2023-05-11,20.5,7.2
2023-05-12,17.6,6.7
2023-05-13,20.1,5.0
2023-05-14,20.4,9.0
2023-05-15,21.6,9.6
2023-05-16,21.7,6.6
2023-05-17,23.1,4.3
2023-05-18,20.9,5.4
2023-05-19,20.2,6.0
2023-05-20,20.4,7.6
2023-05-21,19.5,8.2
2023-05-22,23.4,11.1
2023-05-23,23.8,10.6
2023-05-24,25.9,11.9
2023-05-25,25.3,9.5
2023-05-26,18.8,9.7
2023-05-27,23.4,12.8
2023-05-28,21.6,14.2
2023-05-29,21.3,13.5
2023-05-30,22.4,11.7
2023-05-31,23.4,13.1
2023-06-01,22.1,12.9
2023-06-02,22.9,11.9
2023-06-03,25.1,12.5
2023-06-04,27.0,13.2
2023-06-05,24.0,14.3
2023-06-06,28.5,13.5
2023-06-07,22.5,16.6
2023-06-08,25.3,16.0
2023-06-09,22.9,14.4
2023-06-10,25.1,15.2
2023-06-11,25.7,14.2
2023-06-12,25.5,14.8
2023-06-13,23.9,13.1
2023-06-14,26.0,13.9
2023-06-15,30.7,14.2
2023-06-16,32.7,16.6
2023-06-17,31.0,18.2
2023-06-18,27.4,15.7
2023-06-19,27.3,17.6
2023-06-20,23.7,16.5
2023-06-21,26.7,14.0
2023-06-22,29.5,14.1
2023-06-23,32.9,15.5
2023-06-24,35.4,17.6
2023-06-25,36.7,19.4
2023-06-26,34.9,19.0
2023-06-27,32.0,16.2
2023-06-28,33.5,15.4
2023-06-29,29.3,17.8
2023-06-30,27.4,13.0
2023-07-01,31.9,15.0
2023-07-02,34.0,17.5
2023-07-03,33.1,18.5
2023-07-04,30.8,16.7
2023-07-05,31.0,16.0
2023-07-06,31.3,16.2
2023-07-07,32.2,17.1
2023-07-08,28.5,14.9
2023-07-09,31.6,13.8
2023-07-10,36.9,14.6
2023-07-12,31.0,17.7
2023-07-13,33.0,16.9
2023-07-14,34.0,17.0
2023-07-15,26.8,16.6
2023-07-16,29.7,12.9
2023-07-17,36.2,14.1
2023-07-18,36.2,19.9
2023-07-19,34.8,17.9
2023-07-20,31.2,17.0
2023-07-21,28.9,14.6
2023-07-22,32.2,15.1
2023-07-23,32.7,16.1
2023-07-24,27.2,14.9
2023-07-25,28.6,12.7
2023-07-26,32.7,13.6
2023-07-27,31.9,16.1
2023-07-28,31.8,15.1
2023-07-29,31.7,17.2
2023-07-30,34.1,17.9
2023-07-31,34.0,17.4
2023-08-01,33.6,15.6
2023-08-02,29.8,16.7
2023-08-03,27.9,13.9
2023-08-04,27.0,12.4
2023-08-05,33.4,13.1
2023-08-06,32.4,16.6
2023-08-07,35.6,14.1
2023-08-08,39.1,17.3
2023-08-09,37.0,19.9
2023-08-10,34.8,16.6
2023-08-11,36.4,17.0
2023-08-12,34.5,19.7
2023-08-13,34.0,17.6
2023-08-14,33.3,17.0
2023-08-15,32.5,16.4
2023-08-16,33.0,16.8
2023-08-17,33.9,17.3
2023-08-18,32.2,17.5
2023-08-19,35.3,17.7
2023-08-20,36.4,18.8
2023-08-21,38.2,19.2
2023-08-22,40.1,19.6
2023-08-23,39.0,20.7
2023-08-24,37.5,19.5
2023-08-25,33.9,17.3
2023-08-26,27.5,15.3
2023-08-27,24.7,12.2
2023-08-28,28.1,11.2
2023-08-29,26.8,14.2
2023-08-30,27.5,13.8
2023-08-31,31.6,12.4
2023-09-01,31.0,13.8
2023-09-02,23.3,15.0
2023-09-03,22.6,15.2
2023-09-04,25.8,14.5
2023-09-05,26.7,14.9
2023-09-06,29.9,13.8
2023-09-07,29.5,17.3
2023-09-08,29.7,17.5
2023-09-09,25.7,18.2
2023-09-10,28.7,15.0
2023-09-11,25.5,14.5
2023-09-12,26.9,15.8
2023-09-13,27.3,14.0
2023-09-14,28.4,15.1
2023-09-15,25.9,17.1
2023-09-16,19.2,15.2
2023-09-17,21.1,14.5
2023-09-18,21.7,13.7
2023-09-19,25.5,13.9
2023-09-20,24.5,13.0
2023-09-21,18.1,11.1
2023-09-22,19.5,9.3
2023-09-23,24.6,7.5
2023-09-24,28.9,8.8
2023-09-25,30.3,10.1
2023-09-26,30.4,11.6
2023-09-27,29.0,12.9
2023-09-28,29.9,11.7
